FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,marche_nom,jour,organisme,geometry
_mview_marche_marches.fid--c72d8f_193db82c344_-5b0e,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Lakouda,Marché de Lakouda,{dimanche},Non,"MULTIPOLYGON (((0.9939977233714145 7.960796719990982, 0.9938935168077154 7.960328102299372, 0.9942501905225035 7.9601985429824325, 0.9944190803463709 7.960540564155425, 0.9939977233714145 7.960796719990982)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b0d,Plateaux,Amou,Amou 2,Sodo,Sodo Zion,Marché de Sodo Zion,{dimanche},Non,"MULTIPOLYGON (((0.8411278619842627 7.332883476484513, 0.8409734380463979 7.332641607666169, 0.8411166988080313 7.332515091668882, 0.8412748438046395 7.332734634134762, 0.8412729832752677 7.332809055309636, 0.8411278619842627 7.332883476484513)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b0c,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Natchamba,Marché de Natchamba,{jeudi},Non,"MULTIPOLYGON (((0.9608475204607462 7.965558562645545, 0.9606802394721388 7.965909374039517, 0.9610873176479356 7.966240020643054, 0.9613495623778439 7.965963206761485, 0.9608475204607462 7.965558562645545)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b0b,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Zongo,Grand Marché de Kamina,{mardi},Oui,"MULTIPOLYGON (((0.8560233333333334 7.924474999999999, 0.8560012423186212 7.923502332938279, 0.8560012423186212 7.923502332938279, 0.8542956287349376 7.92330540920981, 0.8541971668707026 7.924070870799507, 0.8541971668707026 7.924070870799507, 0.8560233333333334 7.924474999999999)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b0a,Plateaux,Haho,Haho 2,Djemegni,Tchave,Marchér Tchave,{mardi},Non,"MULTIPOLYGON (((1.3108578051764275 6.9363234157957345, 1.3111611409573745 6.935898248430635, 1.3114122632022573 6.936002675502763, 1.31099952763146 6.9366913969070465, 1.3108578051764275 6.9363234157957345)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b09,Plateaux,Haho,Haho 2,Djemegni,Kponou,Marché de Kponou,"{jeudi,lundi}",Oui,"MULTIPOLYGON (((1.3321683333333332 6.99841, 1.3316666666666668 6.999081666666666, 1.3311066666666667 6.9992, 1.330775 6.998585000000001, 1.3321635439669501 6.998410331280971, 1.3321683333333332 6.99841)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b08,Plateaux,Haho,Haho 2,Djemegni,Kpove,Marché de Kpové,{mardi},Oui,"MULTIPOLYGON (((1.2963216666666668 6.963955, 1.2961166666666666 6.9643049999999995, 1.2957633333333334 6.9644900000000005, 1.2953599999999998 6.964341666666667, 1.295785 6.963463333333334, 1.296305 6.9639516666666665, 1.2963216666666668 6.963955)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b07,Plateaux,Amou,Amou 1,Adiva,Adiva,Marché de Adiva,{dimanche},Non,"MULTIPOLYGON (((1.0215084537358095 7.512276896049773, 1.0215737309828017 7.512131236077145, 1.0216287580835721 7.512023879282505, 1.0217070634869811 7.5118625308108244, 1.0217986094093217 7.511897652202414, 1.021886125008037 7.5119258644677895, 1.021992640703842 7.511940834241254, 1.0220922472734326 7.511985743561649, 1.022103186723272 7.5119943799694155, 1.022051368276664 7.51209628958108, 1.022023156011289 7.5121999264742945, 1.021928155525841 7.512374957671725, 1.0217698213834283 7.512338108998582, 1.0216483359141588 7.512311048254242, 1.0215084537358095 7.512276896049773)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b06,Plateaux,Amou,Amou 1,Imlè-Adiva,Koutoukpa,Marché de Koutoukpa,{mardi},Non,"MULTIPOLYGON (((0.9940300000000001 7.5070016666666675, 0.9940283333333333 7.507061666666668, 0.9940166666666667 7.507108333333334, 0.9940116666666667 7.507128333333332, 0.99399 7.507168333333334, 0.9939783333333333 7.507201666666667, 0.9939716666666667 7.507225, 0.993955 7.507234999999999, 0.993895 7.50721, 0.993855 7.507208333333334, 0.993815 7.5072, 0.9937883333333333 7.507198333333334, 0.993765 7.507188333333333, 0.9937400000000001 7.507166666666666, 0.993725 7.507153333333334, 0.9936983333333332 7.507138333333334, 0.9936866666666667 7.507125, 0.993695 7.507103333333333, 0.9936983333333332 7.507078333333334, 0.9937066666666666 7.5070533333333325, 0.9936816666666667 7.5070466666666675, 0.9936716666666666 7.507021666666667, 0.9936816666666667 7.506984999999999, 0.9936900000000001 7.506966666666667, 0.9936933333333333 7.506956666666667, 0.99368 7.506945, 0.9937 7.506923333333333, 0.9937083333333334 7.506905000000001, 0.9936933333333333 7.506894999999999, 0.9936466666666667 7.506875000000001, 0.9936483333333332 7.5068600000000005, 0.9936583333333334 7.5068183333333325, 0.993675 7.506811666666666, 0.9937166666666666 7.506824999999999, 0.9937433333333333 7.506835000000001, 0.9937733333333333 7.5068399999999995, 0.9938300000000001 7.506848333333333, 0.99386 7.5068649999999995, 0.9938533333333334 7.5069, 0.9938583333333334 7.506933333333334, 0.993875 7.506950000000001, 0.9939 7.506950000000001, 0.9939283333333333 7.506958333333333, 0.9939733333333333 7.506948333333334, 0.9940233333333333 7.506969999999999, 0.9940300000000001 7.5070016666666675)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b05,Plateaux,Amou,Amou 1,Imlè-Adiva,Bena-amoutchi,Marché de Bena-amoutchi,{mardi},Non,"MULTIPOLYGON (((0.9664159232662133 7.43488702592041, 0.9665405069819718 7.434683811498805, 0.9668203097534299 7.434874771784434, 0.9669559530099109 7.43496099546611, 0.9671142355996044 7.435076388579885, 0.9668732375920711 7.435312280697429, 0.9664159232662133 7.43488702592041)))"
_mview_marche_marches.fid--c72d8f_193db82c344_-5b04,Plateaux,Amou,Amou 1,Imlè-Adiva,Dedome,Marché de Dedome,{lundi},Non,"MULTIPOLYGON (((0.9817154916607749 7.502770770597375, 0.98183 7.502448333333333, 0.9818706972157691 7.50239902337992, 0.9820728777699218 7.5024690233799225, 0.9822922888462425 7.502497334486545, 0.982271055516276 7.502637120575489, 0.9822922888462428 7.502759212222795, 0.9822427444096542 7.502969776078297, 0.98195786389927 7.502870687205119, 0.9817154916607749 7.502770770597375)))"
