FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,exploitation_nom,exploitation_annee,terrain,geometry
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1dff,Plateaux,Agou,Agou 1,Agou-Tavié,GADZEPE,Plantation Cacao,1980,Prive - individuel,POINT (0.7224456292284731 6.836004154471656)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e00,Plateaux,Agou,Agou 1,Assahoun-Fiagbé,ASSAHOUN FIAGBE,Plantation Agbenya,2009,Prive - individuel,POINT (0.6991484390160835 6.799722799062479)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e01,Maritime,Avé,Avé 1,Kévé,DJOKOPE,Plantation de Teck,2005,Prive - individuel,POINT (1.0451358426287993 6.44206481420883)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e02,Maritime,Avé,Avé 1,Kévé,DJOKOPE,Plantation Teck de Bagna,1994,Prive - individuel,POINT (1.0445950000000002 6.452806666666667)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e03,Maritime,Avé,Avé 1,Kévé,DJOKOPE,Plantation Teck de Gavlo,2012,Prive - individuel,POINT (1.051780886430003 6.449965195174946)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e04,Maritime,Avé,Avé 1,Kévé,KADANGHAKOPE,Plantation Kadangha,Nsp,Nsp,POINT (0.9941448500517445 6.454380931606146)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e05,Centrale,Sotouboua,Sotouboua 2,Adjengré,LIDAOUWE,Plantation de Manguier Takpegue,1986,Nsp,POINT (1.0010530043370915 8.694001237966868)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e06,Kara,Assoli,Assoli 3,Soudou,BOUZRI,Plantation Bawa,2000,Prive - individuel,POINT (1.2654909794205387 9.292655027649367)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e07,Savanes,Kpendjal,Kpendjal 1,Koundjoaré,TCHANLOAGA,Plantation de Yakoubou,2017,Prive - individuel,POINT (0.7652205337091784 10.992575032464497)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e08,Savanes,Oti,Oti 2,Loko,KOUNKOGOU,Plantation Bantigre,1996,Prive - individuel,POINT (0.2413546989340589 10.583502362912514)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e09,Savanes,Tône,Tône 1,Pana,PANAPAGOU,Plantation de Nana,2012,Prive - individuel,POINT (0.268254768131727 10.781879354213839)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e0a,Savanes,Tône,Tône 4,Kantindi,Kanbinlagou,Plantation de Tecks de Pougoumba,1970,Prive - individuel,POINT (0.2914264971614272 10.904858842898314)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e0b,Savanes,Tône,Tône 4,Kantindi,KANTINDI CENTRE,Plantation de Namgole,2020,Prive - individuel,POINT (0.2801132511260477 10.904813565077772)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e0c,Savanes,Tône,Tône 4,Kantindi,Monfante,Plantation de Manguier de Monfante,Nsp,Domaine prive de l Etat ou des collectivites territoriales,POINT (0.2795239961311761 10.903753399088357)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e0d,Savanes,Tône,Tône 4,Kantindi,KPIGUIDJINI,Plantation de Teck de Lale,Nsp,Prive - individuel,POINT (0.2612472238383216 10.957460827620897)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e0e,Maritime,Avé,Avé 1,Kévé,YOMETCHIN,Plantation de Teck,2010,Prive - individuel,POINT (1.013693719720312 6.488678930927163)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e0f,Maritime,Avé,Avé 1,Kévé,YOMETCHIN,Plantation de Teck,1998,Prive - individuel,POINT (1.0215382903740111 6.49787594825385)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e10,Maritime,Avé,Avé 1,Kévé,YOMETCHIN,Plantation de Palmier Togbui,2007,Prive - individuel,POINT (1.019990700524371 6.493410548453583)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e11,Maritime,Avé,Avé 1,Kévé,YOMETCHIN,Plantation de Bananeraie,1998,Prive - individuel,POINT (1.0106838140568755 6.480816619977305)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e12,Maritime,Avé,Avé 1,Kévé,YOMETCHIN,Plantation de Bananeraie,2000,Prive - individuel,POINT (1.0089466010132921 6.484126821291785)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e13,Maritime,Avé,Avé 1,Kévé,YOMETCHIN,Plantation de Palmier Ahiandzo,2011,Prive - individuel,POINT (1.0168535639718779 6.487715615895654)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e14,Savanes,Tône,Tône 4,Kantindi,Oubitenigou,Plantation de Ronier de,1996,Prive - individuel,POINT (0.2828357606024788 10.940151219764118)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e15,Maritime,Avé,Avé 1,Kévé,YOMETCHIN,Plantation de Palmier Agbanou,2001,Prive - individuel,POINT (1.0118110651174708 6.480453304069868)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e16,Maritime,Avé,Avé 1,Kévé,LOOME,Plantation Alayi,2002,Prive - individuel,POINT (0.9963582870502711 6.485143820339584)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e17,Maritime,Avé,Avé 1,Kévé,VOGANKOPE,Plantation Fapv,1985,Prive - individuel,POINT (1.0283523470990101 6.464422046065317)
_mview_plantation_etablissements_plantation.fid-7b1c8a4a_193f31e3447_1e18,Maritime,Avé,Avé 1,Kévé,LOOME,Plantation Teck de Agbavon,2004,Prive - individuel,POINT (1.0030439316378266 6.4887755768442945)
