FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,cooperative_nom,cooperative_statut,cooperative_type,geometry
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60cf,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Upcm Toupampawe ( Union Préfectorale des Coopératives de Producteurs de Maïs),"{Cooperative production,entraide}",Nsp,POINT (0.8517011390434934 7.9279190827857455)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60ce,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Worokokpi,"{Cooperative production,entraide}",Nsp,POINT (0.8518229585193692 7.928039289280295)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60cd,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Upcr Woutarkpe ( Union Préfectorale des Coopératives de Producteurs de Riz),{Cooperative production},Nsp,POINT (0.8516710478422701 7.928113374392872)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60cc,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Gnoutsetsegbe,{Cooperative production},Nsp,POINT (0.8515800588311565 7.928121847968146)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60cb,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Azigo,Coopérative Yekeri,{Cooperative production},Nsp,POINT (0.872685 7.846796666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60ca,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Azigo,Coopérative Gpc Azigo,{Cooperative production},Nsp,POINT (0.8743616666666667 7.846496666666667)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c9,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Assanouboui,Coopérative Assanouboui,{Cooperative production},Nsp,POINT (0.8807052708741966 7.844924331007881)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c8,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Uccm Kpetewe,"{Cooperative production,tontine,entraide}",Nsp,POINT (0.8515233333333333 7.927898333333333)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c7,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Christ-roi,"{Cooperative production,Cooperative transformation,entraide,tontine}",Nsp,POINT (0.8515826087486783 7.92742405468577)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c6,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Uccr Diwere de Kamina (union Cantonale des Coopératives de Producteurs de Riz),{Cooperative production},Nsp,POINT (0.8522926184983483 7.92750549623853)
_mview_general_chefs_cooperative.fid-7b1c8a4a_193f31e3447_-60c5,Plateaux,Akébou,Akébou 2,Kamina-Akébou,Kamina,Coopérative Gpc Agbedji,{Cooperative production},Nsp,POINT (0.8511156782762255 7.926475399285086)
