FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etab_nom,etab_adresse,etab_jour,etab_creation_date,terrain,geometry
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29eb,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,Devime,Pepiniere Vaincint,Néant ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2021,Domaine public de l Etat ou des collectivites territoriales,POINT (1.2091251056254928 6.359370513767732)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29ec,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,DOULASSAME,Pepiniere Gbelewi,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1997,Prive - individuel,POINT (1.5744386163491233 6.4753868649540856)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29ed,Centrale,Tchaoudjo,Tchaoudjo 1,Tchalo,ADJOROGO,Dihel'n,derrière La Montagne de Tchalo,"{Lundi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2016,Nsp,POINT (1.1226702106608644 8.94737646950553)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29ee,Savanes,Oti-Sud,Oti-Sud 2,Nali,NALI ANGO,Gablibo,Nsp,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2018,Prive - individuel,POINT (0.4512233333333333 10.056498333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29ef,Savanes,Tône,Tône 3,Lotogou,BAFONG,Pépinièrie de Bafong,Néant,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",1982,Prive - individuel,POINT (0.0301548990059953 10.804137253159155)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29f0,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,DEVIME,Pepiniere Ali,Néant ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2001,Prive - individuel,POINT (1.2104760993309327 6.358503231113863)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29f1,Maritime,Agoè-Nyivé,Agoè-Nyivé 6,Adétikopé,DEVIME,Pepiniere Sefrato,Néant ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",2006,Prive - individuel,POINT (1.2110018586893148 6.351848703538083)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29f2,Maritime,Avé,Avé 1,Kévé,TONOVE,Pépinière Dade,Néant ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2018,Prive - individuel,POINT (0.9289400000000001 6.448473333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29f3,Maritime,Avé,Avé 1,Assahoun,LE STYLO ,Pépinière d'Amassou,Néant ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2008,Prive - individuel,POINT (0.9050016666666667 6.472400000000001)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29f4,Maritime,Avé,Avé 1,Assahoun,Zongo,Pépinière Dade,Néant ,"{Lundi,Mardi,Mercredi,jeudi,Vendredi}",2020,Prive - individuel,POINT (0.9119433333333333 6.451153333333334)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29f5,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,DZREKPO BALIME,Pépinière de Kondo Afi,98226988,"{Samedi,Dimanche,Vendredi,jeudi,Mercredi,Mardi,Lundi}",1990,autre,POINT (1.5737783333333335 6.4679850000000005)
_mview_pepinieresem_pepinieres_semence.fid-7b1c8a4a_193f31e3447_29f6,Maritime,Bas-Mono,Bas-Mono 1,Afagnan-Gbléta,DZREKPO DOULASSAME,Pepiniere de Doulassame 1,"97064272, 98134261","{Lundi,Mardi,Mercredi,jeudi,Vendredi,Samedi,Dimanche}",Avant 1978,autre,POINT (1.5736399999999997 6.4758033333333325)
